Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_A10_543742
Composite Element REF	Signal
AACS	6.6728836737407
FSTL1	8.33960348185037
ELMO2	5.64127805523157
CREB3L1	4.53806705909637
RPS11	10.092916631208
PNMA1	7.77732836647671
MMP2	7.3011633333618
SAMD4A	4.33130856082658
SMARCD3	4.79021444388602
A4GNT	4.13274806682928
C9orf39	3.76745889947638
PKNOX2	4.3338139068647
RALYL	4.59321602781720
ZHX3	5.1362639658348
ERCC5	5.29178744522369
RXFP3	3.99405237780781
APBB2	3.90358134243962
BBOX1	3.66721876387906
PRO0478	3.38809561284548
GCSH	8.84377990707514
XDH	4.49774161160480
EDN1	4.06906701084399
MTERF	6.90576231523624
PDCL3	8.2259724382017
CLK4	6.16159138829758
KCNG1	4.63229624285153
CXCR4	7.60275911497835
DECR1	8.82205096413009
SALL1	3.41741230088014
PTPRR	4.17485544997969
CADM4	3.78019110917869
IRAK1	9.32811362083871
CFHR5	3.74098548322137
HNRPD	8.26855427870768
TMSB10	12.3691995458765
CXCL3	4.20225747005905
LMAN1	3.65771238110535
SUHW1	3.95603612782139
CHD8	6.13386670133496
SUMO1	8.31591172192353
GP1BA	3.59819917548768
OR7A10	3.71327092157586
DDB1	7.78332430582896
CHRNA10	4.12663752419711
STYK1	3.9421770107375
MYO9B	4.72680115976353
CCNI	10.6787841888793
MMP7	9.6573156143673
EP300	6.44840130606174
CRNKL1	7.17396742215034
C9orf45	4.13354659765755
XAB2	4.27876250911482
RTN1	3.96246872475771
HIC2	4.31986530562466
TBX10	4.1261788818181
CENPQ	5.41436871874083
UTY	4.44331477245163
OR2W1	3.30430772867297
ATP5G2	11.2783538847666
ZEB1	3.65580114111547
ZG16	4.07330330709190
ERG	4.23484680688226
PARN	7.74451442274311
SOD2	7.376838664769
JOSD3	8.6959945604911
ADAM5P	3.5094354267325
CHD9	6.36969345161067
hCG_40738	4.50126793291493
STK16	6.00662826813213
PDE1C	4.10114102920758
SEMA4D	4.8102730205073
AGPAT1	6.06707782888691
TOB2	5.64324771068375
BANK1	4.27157344878515
MAP3K3	5.93623237920381
MAX	6.19792021244357
GRM2	4.31142044390805
OSBPL8	8.43390222651533
PROSC	8.729638582642
NR4A2	6.1847161692079
RICS	6.46374237428538
PIR	8.25099618354263
PPCS	9.82903419266857
IPO9	6.55280592234652
LONP1	7.51209566607408
EVC	4.19287596767216
CXCL13	6.47371082733173
SCYL3	5.59810590034118
KIAA1199	4.02210514779790
SORL1	6.71844957404599
NAT10	6.87821587797437
CHD1	5.58623151836203
SYN3	4.30198020760434
DMC1	4.25890082013303
SLC22A2	4.1931228526172
SERPINF1	7.03051930382994
C20orf27	7.9808889848451
OR7A17	3.49865580091982
RPS6KA5	6.00242377813372
LHB	4.02706079102361
TAOK3	5.42940482588289
STK25	6.97530038337623
SLC12A4	4.16202692203521
BRCA1	5.09395135770401
GBL	6.26241490599149
C14orf108	8.08013422722693
CDC25B	8.37344281441859
BMP3	3.4712454166008
MAP1LC3C	3.73779898771422
TMEM180	4.53223510456593
CRYGC	4.33873910242053
SLK	7.18004010400762
POU3F1	3.7903059353221
C20orf32	3.91544250097432
USP52	6.33113016356365
HIGD1B	4.33967741540305
BAZ1B	6.77216896600274
USP6NL	4.47135718874965
SLCO2B1	4.87614350706967
ABCD4	4.76255540106358
DIMT1L	6.92021626810209
SLC25A46	8.68583579302918
LARP7	6.32376012864543
TEK	4.30342304958734
CD160	3.9409823025427
TERF2IP	8.82727931478795
PHF20	6.50569914906102
COL1A1	7.6295979731976
KIAA0090	7.01735402418666
GTPBP1	4.99608889133821
GRK5	4.56890256041119
AP1S2	5.72463833228888
RAB33B	4.61024256125247
CA11	4.17824327967703
ALDOC	7.30989956694973
NUDT1	6.7189116984955
ZNF212	6.05483050293749
ACBD3	7.99934864067421
ZNF83	5.76127425831274
PRDM2	4.98418930606316
GDPD5	4.7051813903118
PDCD4	6.44103969305451
CEP350	6.57968629705384
FOXP3	3.51039174146014
SMYD3	5.61732923848215
CST7	5.57297980185679
SELL	5.29125502737656
CIAO1	6.96820948442107
LGI2	4.19377920159771
WDR45	7.36261166036863
ANKRD6	5.50776694127641
LTBP4	4.76771095086904
PSCD3	3.98257211893781
PYY	3.94071675706634
KCNC1	3.62135167845935
SIRT6	4.87662551256603
CCL19	5.38155588875999
ARHGEF9	4.84091398490091
ABR	4.71418597440574
C10orf22	7.47832748666046
STK17A	5.4766170506533
FOXE1	5.61585511677278
GML	3.5604262512527
CNGA3	3.73055036410094
CD38	4.45642535883919
ZDHHC6	7.8954496423648
NEFH	3.97577075375729
PGBD5	4.0753779519209
CTDSP2	7.47164358861598
RMND5B	5.67462870545971
ZNF257	3.43052120750011
DUSP4	3.89090983916220
FLJ22167	4.00000051594786
EXOSC7	6.50329318521844
ROR2	3.69202064789744
FOXM1	5.69806885562958
ZBTB48	4.84979936218117
BUD31	8.58127667977124
MAOA	9.01616677064233
CCDC41	4.97678950942909
TNNT3	4.46590513437488
FBXO11	5.96356570403463
GYPC	5.46594460613922
PLIN	3.98794087999889
RFXAP	4.08914542820386
C6orf15	4.26657682276285
RNF4	8.01218325813451
F8A1	9.6100554150049
PPP1R3D	5.2563716856851
GRB2	7.72870142079673
TPM3	3.69201628323984
SYT13	3.89947991823125
EPB42	4.08911357741369
RP5-1077B9.4	5.8013301409804
EIF1	12.0047133878694
CETN3	6.99519032199346
FPGT	6.3215546378233
PRY	4.2803431722773
NTHL1	4.79427267051715
POLR2B	8.9460278647234
RPS28	12.6830067956536
GDF10	3.61886815624667
COQ9	8.14821603963697
P2RX3	3.16203045742236
GCC2	6.3830588939441
RARRES3	5.54633506018969
PLXNA1	7.29094355124224
WBP4	4.2012386656903
KIAA0100	7.08482573926087
PMF1	6.13474434902275
HS2ST1	5.9332806632156
CRELD2	8.81394437747147
C8G	3.45851425300319
CD82	6.18344517593924
PMM1	5.99591806997218
CBLL1	4.44993613949147
LIM2	3.89783225690764
VAX2	4.287577120549
SETDB1	5.36570649755639
LRAP	6.39516997146282
GCLM	7.28743649410116
CPEB3	3.69058843815996
PPM1A	6.98132373799668
INTS1	4.6069533208611
MMP16	3.64632479307025
CAMTA1	3.77626464356265
SAMSN1	5.41929530494203
DRD3	3.52994401831798
GMPPA	6.16577601737472
C11orf73	7.00609472801048
AIPL1	4.20296540915721
PTP4A2	9.66963866465387
IL24	3.79957550395405
BDKRB1	4.53715155768984
HPCA	3.88397464141332
MLF1	7.70329899169171
SEC14L1	5.73494978813611
CHFR	6.47886563153134
EMILIN1	3.79679902050304
THADA	6.5280826456273
TAF12	7.5680759135687
NDUFS4	10.2785156752834
ID1	9.00286032980954
PIK3CB	4.38963370227329
COL18A1	5.1628020404965
PDZD3	3.69548669790629
TBC1D17	4.27100016560232
COX8A	10.5246248060666
CDCA4	7.7084479292167
C2orf44	5.3560889574658
C9orf16	9.3941057197516
ERBB2IP	7.60214834472775
EMX2	3.41901221344423
FUS	6.25497048974253
NIPSNAP3B	3.43646412797491
TF	3.67529129893559
CXorf56	5.56713178794172
CLCN4	3.86683094671944
PWP2	6.27709964106347
MMP15	4.62181881216462
MTMR14	6.42910033591641
NPR1	5.03277000238398
DNAL4	5.44633039826242
ELAC2	4.97512647018477
ASS1	8.9338040957352
IPP	6.28759177421988
TMEM59	10.6942835937854
POLR2J	9.7188241340400
SEC23IP	5.95260493746787
RGS4	4.40105345187672
UQCRC1	9.35287603733326
SNX6	9.16141978295394
DDX18	8.1052389105804
POLG	5.00052204486463
ADAM23	4.45864103233489
ZNHIT2	5.15741756278236
TFR2	4.00016062285408
NCDN	4.6078868727705
RAG1	3.82179003612914
POMT1	5.35078423397676
CYP1A1	3.84619833789567
SNAPC1	6.26592903503075
GNA11	6.92675040707252
CCDC52	3.41636227514407
CAPN1	7.85172521678286
DDHD2	7.81040894913289
UPF3A	6.08664972097696
LAGE3	7.10263989748369
GNRHR	3.59134143132518
UNC13B	6.87392063917032
TTLL4	5.32675081136686
PPBP	3.76959826943919
HTR3A	3.74092096193251
SDC2	5.10337089802991
ANKRD49	8.35450040800224
BTF3	11.1556863492631
COX7A2	11.3020360072101
SARS	9.37513318578227
C13orf18	4.03056072537413
CACNB1	4.38331418720369
QKI	6.53732790234292
SETMAR	5.53786119004073
LAMB4	3.53435489519383
MAN2B1	7.687175529724
EML3	5.50741067847427
ACADL	4.20848428519729
OFD1	7.41239915320095
CGA	3.87823122261971
EIF3EIP	11.5450698121732
PEX16	5.3700798049792
GNG12	9.35662323431137
HABP4	5.58062788009724
CNTN2	3.74529466777467
ASNSD1	7.61372956102411
FUT4	4.62162589611857
DBH	3.92934384214928
CD53	9.00974628220297
HIST1H2BJ	4.22327540482873
TFAP2B	3.60382066433639
ACF	4.04562853077393
TMEM11	7.39569180237944
CDH8	3.89337662112516
C3orf32	3.90092363741305
AGPS	5.81870357726881
C4orf18	3.69999588171933
PCCB	8.8764966188043
IPO13	6.00245983341406
PECI	8.54225859302532
UNG	7.84567351934294
C6orf105	4.38228073567491
GSTP1	10.4226810203568
SUV420H1	6.71347210260154
ARHGAP15	4.71418932902094
LTBR	8.14882224438002
TDRKH	3.56336341012021
PSG4	4.15859166106997
SLC9A3R1	8.13291417631996
NBPF3	9.15962747122862
SLC9A3	3.88636538124105
OSBP	7.1992640587532
PRR5	5.74214812119411
CHMP7	5.9415758403274
ADRA1A	3.53652125750557
ASAH1	7.59303806121459
FKBP4	7.83412553935925
ZNF350	4.30230409422094
DOM3Z	5.4435777075168
GIPR	4.04844247157854
AHI1	5.01142946085287
BST1	3.78207048341815
NCR2	4.07593135058504
NADSYN1	4.68676221095156
UBE2W	6.82678140724498
RGS14	4.67418698698456
KRT15	9.9786426489636
SCN11A	4.22416172537407
GFI1	4.60683644322354
FHL1	4.24070909652692
SMC6	6.86142062469437
GATA1	4.16254530173994
OSGEP	5.71082145973299
ARMC6	5.3398482363457
HK3	4.21417087224604
PSMD5	9.08335320416725
RSU1	7.209079975516
RPL4	12.5277164531537
MAD2L1	7.79903907896046
RBPMS	4.57690351360061
EIF4A3	10.4776167291165
E4F1	5.28102500334051
DLEC1	3.98574441309904
PRPF3	5.75844486069697
EMR1	3.49881025972059
CHMP2B	7.50014480566941
CAMSAP1	5.25069916484473
RPS21	11.0766321372256
XCR1	3.98036580052472
ARID5A	5.3015702933447
RBM6	5.52345894224896
UBE2N	8.57289482500043
KLF4	8.07910923928618
MGC4172	4.60067688109314
LMO4	8.51870669603272
KLKB1	3.71024972969706
HDAC3	7.98083792106824
HP	4.05797454117057
SCHIP1	6.05726843219615
BTK	4.57374020860118
KRCC1	6.87293136789646
PRND	3.33653543451721
C6orf27	3.93817493970241
PIGL	4.20257688521404
CLCA1	4.4983278406474
C1orf112	4.92401843018255
OLFML2A	5.7463070333173
HUS1	5.45946751566037
SFRS6	8.26611782440096
CXCR7	5.55850561272046
UIMC1	6.11497472891063
FXYD2	4.1069136806408
GOT2	9.20820800855436
ZNF667	3.27233277303959
TFEC	4.20464263129357
ATP7B	3.95066659574721
RAB38	9.08183171560194
POLD2	8.20738407448428
PPM1H	4.56889490844591
DCX	3.63440494262931
NFYC	5.97112689836554
ZNF228	6.95324230129873
KIN	4.68757228553016
PLSCR4	7.94013926885
HIST1H4I	4.66298047297473
PPARGC1A	3.96814443161228
HIG2	6.42654860214048
KCNK10	4.45177229115035
EXOC1	8.07702104436198
OR6A2	4.09972791441483
ETFA	8.94129508896701
PDAP1	5.72654539200426
C19orf6	4.36469107207037
POLRMT	5.07348147021865
ZNF146	9.08099639118129
MIA2	3.51126609736286
LY6G6E	3.82683812851729
EIF4E2	8.95596547035776
NENF	6.38334741420206
HOXB5	4.32283244012981
ZNF324	4.47619020640548
CUGBP1	3.83373459395721
ENTPD7	4.94181177250453
TTC13	5.65113886749194
GJB5	6.29454446983089
PRSS22	4.88693829076451
CYP3A5	3.93349382303247
MBOAT5	5.75332408468003
CUL4B	5.31449847101505
CENPJ	4.42888521282392
KIAA0664	6.68393727951254
PITX1	8.29760886215884
PDGFRB	6.08600822755069
RDX	6.51658084216568
CELSR3	4.11240434794138
JUND	6.41058682450796
ITSN1	4.40621344103549
CHRNB1	3.88983739243872
EHBP1L1	4.53988910498046
C19orf2	8.7650651977898
FETUB	3.45337074455774
CAMK2B	3.48138853137836
DCTN1	6.74953465638836
TNKS2	7.36921073051894
MRTO4	9.11924717431557
C1QBP	6.91870649429011
TTC3	8.58286806695267
NDUFB8	9.05105689051345
CADPS2	4.62861885868697
EDG2	5.78099233682652
MYF5	3.34108021155489
SEMA3G	4.1366594987519
IL23A	4.26833396534896
GJA9	4.19049431586777
R3HDM2	8.73720824128
C5	4.5461387302433
SLC2A10	7.9533741100284
TRIM45	5.55515184960205
TSP50	3.84848703117338
PAQR3	6.0637877372134
ANKRD26	3.54100879394893
TCP1	10.0372320660032
TMED7	7.74513368635185
CMA1	3.28734531912972
PTCRA	4.87602515923234
