Hybridization REF	TCGA-AO-A03P-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.21941666666667
CREB3L1	-0.15225
RPS11	2.193375
PNMA1	-0.21875
MMP2	-0.148666666666667
C10orf90	-1.955
ZHX3	0.210833333333333
ERCC5	0.42975
GPR98	-0.970875
RXFP3	0.523
APBB2	1.458
PRO0478	-1.234
KLHL13	-3.43475
PRSSL1	-0.760333333333333
PDCL3	0.537333333333333
DECR1	-0.46275
SALL1	-3.7105
CADM4	-0.737166666666667
RPS18	0.603071428571429
HNRPD	-0.758833333333333
CFHR5	0.3075
SLC10A7	0.168625
OR2K2	1.047
LMAN1	0.0475
SUHW1	-2.38925
CHD8	0.8762
SUMO1	0.2691
GP1BA	-0.1218
DDB1	0.1055
MYO9B	-0.3797
MMP7	4.275
CRNKL1	1.335375
C9orf45	-1.72733333333333
XAB2	0.37425
RTN1	0.642625
KLHL14	-1.73925
TBX10	-1.165
CENPQ	-1.445
UTY	-0.832571428571429
ZBTB12	0.4285
DTNBP1	-0.49275
KBTBD8	-1.12416666666667
ZEB1	-0.371833333333333
ZG16	-2.147
MIER1	-0.1082
ADAM5P	0.9965
CHD9	-0.09325
STK16	1.91675
KIAA1486	-0.1365
TOB2	0.328833333333333
BANK1	0.86275
OR2V2	-0.66725
GRM2	0.389833333333333
PROSC	-0.50825
SPIN2B	0.13425
PIR	-1.74811111111111
IPO9	-0.8142
EVC	0.761666666666667
CXCL13	4.029
KIAA1199	-1.0815
SORL1	-0.34
NAT10	-0.0525
CHD1	-0.4845
SYN3	-0.9685
SLC22A2	-0.56375
SERPINF1	-0.268833333333333
WDR34	-0.20825
OR7A17	0.0975
C9orf11	-0.5925
RNF216L	-0.6105
LHB	0.011
STK25	0.085
TAOK3	0.835
LOC152573	-2.67125
C3orf39	1.1115
C14orf108	-0.0893
CDC25B	1.01281818181818
BMP3	-0.015
TMEM180	0.195
MAP1LC3C	-0.4505
CRYGC	-0.249
POU3F1	-1.2145
C20orf32	-1.2735
CCDC95	-0.3305
HIGD1B	4.811
