Extract Name	Protocol REF	Labeled Extract Name	Label	Term Source REF	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Scan Name	Array Data File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [md5]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [md5]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [md5]
TCGA-37-4141-01A-02R-1101-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-37-4141-01A-02R-1101-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_A07_723982	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-37-4141-01A-02R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_A07_723982.CEL	broad.mit.edu_LUSC.HT_HG-U133A.Level_1.53.1005.0	Expression-Gene	Level 1	yes	a487475a3e9df82be61ac29438f97e5a	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-37-4141-01A-02R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_A07_723982.level2.data.txt	broad.mit.edu_LUSC.HT_HG-U133A.Level_2.53.1005.0	Expression-Gene	Level 2	yes	03d23f6be566d0afa2d33058bf6e42a4	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-37-4141-01A-02R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_A07_723982.level3.data.txt	broad.mit.edu_LUSC.HT_HG-U133A.Level_3.53.1005.0	Expression-Gene	Level 3	yes	7fc682bea0a4471e9601f63c7382ef5e
TCGA-18-4083-01A-01R-1101-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-18-4083-01A-01R-1101-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_B05_723958	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-18-4083-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_B05_723958.CEL	broad.mit.edu_LUSC.HT_HG-U133A.Level_1.53.1005.0	Expression-Gene	Level 1	yes	a0f160833f6cb8d51b4f3b3bfe4e5fc8	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-18-4083-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_B05_723958.level2.data.txt	broad.mit.edu_LUSC.HT_HG-U133A.Level_2.53.1005.0	Expression-Gene	Level 2	yes	d97c861f148cdc987f0cc6246739dfd1	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-18-4083-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_B05_723958.level3.data.txt	broad.mit.edu_LUSC.HT_HG-U133A.Level_3.53.1005.0	Expression-Gene	Level 3	yes	f840a6a99651e574e02b7e715ad4b9d9
TCGA-51-4079-01A-01R-1101-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-51-4079-01A-01R-1101-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_B07_723946	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-51-4079-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_B07_723946.CEL	broad.mit.edu_LUSC.HT_HG-U133A.Level_1.53.1005.0	Expression-Gene	Level 1	yes	b18eb77769c604b94d7c5b39720d182e	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-51-4079-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_B07_723946.level2.data.txt	broad.mit.edu_LUSC.HT_HG-U133A.Level_2.53.1005.0	Expression-Gene	Level 2	yes	ce98f920c47ae121950b5aca955f56ea	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-51-4079-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_B07_723946.level3.data.txt	broad.mit.edu_LUSC.HT_HG-U133A.Level_3.53.1005.0	Expression-Gene	Level 3	yes	214ae0227b7804fc5be6a34525bedf47
TCGA-18-4086-01A-01R-1101-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-18-4086-01A-01R-1101-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_C05_723822	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-18-4086-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_C05_723822.CEL	broad.mit.edu_LUSC.HT_HG-U133A.Level_1.53.1005.0	Expression-Gene	Level 1	yes	89fd6ea0cf9bbaa4a6da452c9d43f487	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-18-4086-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_C05_723822.level2.data.txt	broad.mit.edu_LUSC.HT_HG-U133A.Level_2.53.1005.0	Expression-Gene	Level 2	yes	9a5bc923082c2d02ffe5df85618b00f3	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-18-4086-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_C05_723822.level3.data.txt	broad.mit.edu_LUSC.HT_HG-U133A.Level_3.53.1005.0	Expression-Gene	Level 3	yes	1f33b18fb3122e9acacbf298fc1372af
TCGA-51-4080-01A-01R-1101-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-51-4080-01A-01R-1101-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_C07_723882	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-51-4080-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_C07_723882.CEL	broad.mit.edu_LUSC.HT_HG-U133A.Level_1.53.1005.0	Expression-Gene	Level 1	yes	b52451eebd7e5a7e30e2dae903dd4242	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-51-4080-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_C07_723882.level2.data.txt	broad.mit.edu_LUSC.HT_HG-U133A.Level_2.53.1005.0	Expression-Gene	Level 2	yes	41f6ed93cddf9c0f380a2d3a8b9fdff2	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-51-4080-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_C07_723882.level3.data.txt	broad.mit.edu_LUSC.HT_HG-U133A.Level_3.53.1005.0	Expression-Gene	Level 3	yes	46d7f3bed1e25435954a0ff84dd21897
TCGA-37-4129-01A-01R-1101-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-37-4129-01A-01R-1101-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_D05_723806	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-37-4129-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_D05_723806.CEL	broad.mit.edu_LUSC.HT_HG-U133A.Level_1.53.1005.0	Expression-Gene	Level 1	yes	3e9f974d292bbe868b632872d37ca15f	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-37-4129-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_D05_723806.level2.data.txt	broad.mit.edu_LUSC.HT_HG-U133A.Level_2.53.1005.0	Expression-Gene	Level 2	yes	d84befe2186ec5a4b3b44f9e63a59e52	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-37-4129-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_D05_723806.level3.data.txt	broad.mit.edu_LUSC.HT_HG-U133A.Level_3.53.1005.0	Expression-Gene	Level 3	yes	19d3d6d42efc84465181f42d1c5c857f
TCGA-51-4081-01A-01R-1101-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-51-4081-01A-01R-1101-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_D07_723888	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-51-4081-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_D07_723888.CEL	broad.mit.edu_LUSC.HT_HG-U133A.Level_1.53.1005.0	Expression-Gene	Level 1	yes	5ed6e505477f0afab270df5bcac80ac1	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-51-4081-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_D07_723888.level2.data.txt	broad.mit.edu_LUSC.HT_HG-U133A.Level_2.53.1005.0	Expression-Gene	Level 2	yes	e1a529c4229fac02eca37a3fde6671db	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-51-4081-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_D07_723888.level3.data.txt	broad.mit.edu_LUSC.HT_HG-U133A.Level_3.53.1005.0	Expression-Gene	Level 3	yes	80ee3d339bcc2949f1efecd75fce553b
TCGA-37-4130-01A-01R-1101-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-37-4130-01A-01R-1101-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_E05_723804	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-37-4130-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_E05_723804.CEL	broad.mit.edu_LUSC.HT_HG-U133A.Level_1.53.1005.0	Expression-Gene	Level 1	yes	643137080c8d191b243c66c647bfc7d6	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-37-4130-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_E05_723804.level2.data.txt	broad.mit.edu_LUSC.HT_HG-U133A.Level_2.53.1005.0	Expression-Gene	Level 2	yes	6ef364577b1860c3e4886f4506ebc897	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-37-4130-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_E05_723804.level3.data.txt	broad.mit.edu_LUSC.HT_HG-U133A.Level_3.53.1005.0	Expression-Gene	Level 3	yes	0bff88579d93b1f9776cfb057a274608
TCGA-37-4132-01A-01R-1101-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-37-4132-01A-01R-1101-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_F05_723840	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-37-4132-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_F05_723840.CEL	broad.mit.edu_LUSC.HT_HG-U133A.Level_1.53.1005.0	Expression-Gene	Level 1	yes	8ceeb18aa001b177581d2af7fb2d0161	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-37-4132-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_F05_723840.level2.data.txt	broad.mit.edu_LUSC.HT_HG-U133A.Level_2.53.1005.0	Expression-Gene	Level 2	yes	9de695b01fc95d35e6b163b62054256a	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-37-4132-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_F05_723840.level3.data.txt	broad.mit.edu_LUSC.HT_HG-U133A.Level_3.53.1005.0	Expression-Gene	Level 3	yes	cec953c57932f5993e82e5d71adaa1f5
TCGA-37-4133-01A-01R-1101-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-37-4133-01A-01R-1101-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_G05_723884	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-37-4133-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_G05_723884.CEL	broad.mit.edu_LUSC.HT_HG-U133A.Level_1.53.1005.0	Expression-Gene	Level 1	yes	b278bba99d32b69735e76e5dfb8ed3b1	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-37-4133-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_G05_723884.level2.data.txt	broad.mit.edu_LUSC.HT_HG-U133A.Level_2.53.1005.0	Expression-Gene	Level 2	yes	bd21bcd7b37400bec5c70f4ce62a6859	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-37-4133-01A-01R-1101-01	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_G05_723884.level3.data.txt	broad.mit.edu_LUSC.HT_HG-U133A.Level_3.53.1005.0	Expression-Gene	Level 3	yes	1c9d2b276d135a3a7b4dc3aec8deb5f8
