Extract Name	Comment [TCGA Barcode]	Material Type	Protocol REF	Assay Name	Protocol REF	Assay Name	Protocol REF	Assay Name	Comment [NCBI SRA Experiment Accession]	Annotation REF	Protocol REF	Data Transformation Name	Derived Data File REF	Comment [Genome reference]	Comment [NCBI dbGAP Experiment Accession]	Comment [TCGA Include for Analysis]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Protocol REF	Data Transformation Name	Derived Data File	Comment [TCGA Include for Analysis]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Archive Name]
0def3ef8-7608-483c-b899-4d459f6d2e2d	TCGA-BH-A0W3-01A-11R-A109-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeq:01	0def3ef8-7608-483c-b899-4d459f6d2e2d reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeq:01	0def3ef8-7608-483c-b899-4d459f6d2e2d library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeq:01	0def3ef8-7608-483c-b899-4d459f6d2e2d RNA_Sequencing	->	https://tcga-data.nci.nih.gov/tcgafiles/ftp_auth/distro_ftpusers/anonymous/other/GAF/GAF_bundle/outputs/TCGA.Sept2010.09202010.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeq:01	TCGA-BH-A0W3-01A-11R-A109-07 consensus_mRNA	UNCID_.TCGA-BH-A0W3-01A-11R-A109-07.	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:gene_expression:IlluminaHiSeq_RNASeq:01	TCGA-BH-A0W3-01A-11R-A109-07 gene_expression	UNCID_375228.TCGA-BH-A0W3-01A-11R-A109-07.110607_UNC11-SN627_0100_AD0CT7ABXX.2.trimmed.annotated.gene.quantification.txt	yes	Expression-Gene	Level 3	unc.edu_BRCA.IlluminaHiSeq_RNASeq.Level_3.1.2.0
0def3ef8-7608-483c-b899-4d459f6d2e2d	TCGA-BH-A0W3-01A-11R-A109-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeq:01	0def3ef8-7608-483c-b899-4d459f6d2e2d reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeq:01	0def3ef8-7608-483c-b899-4d459f6d2e2d library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeq:01	0def3ef8-7608-483c-b899-4d459f6d2e2d RNA_Sequencing	->	https://tcga-data.nci.nih.gov/tcgafiles/ftp_auth/distro_ftpusers/anonymous/other/GAF/GAF_bundle/outputs/TCGA.Sept2010.09202010.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeq:01	TCGA-BH-A0W3-01A-11R-A109-07 consensus_mRNA	UNCID_.TCGA-BH-A0W3-01A-11R-A109-07.	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:exon_expression:IlluminaHiSeq_RNASeq:01	TCGA-BH-A0W3-01A-11R-A109-07 exon_expression	UNCID_375304.TCGA-BH-A0W3-01A-11R-A109-07.110607_UNC11-SN627_0100_AD0CT7ABXX.2.trimmed.annotated.translated_to_genomic.exon.quantification.txt	yes	Expression-Exon	Level 3	unc.edu_BRCA.IlluminaHiSeq_RNASeq.Level_3.1.2.0
0def3ef8-7608-483c-b899-4d459f6d2e2d	TCGA-BH-A0W3-01A-11R-A109-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeq:01	0def3ef8-7608-483c-b899-4d459f6d2e2d reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeq:01	0def3ef8-7608-483c-b899-4d459f6d2e2d library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeq:01	0def3ef8-7608-483c-b899-4d459f6d2e2d RNA_Sequencing	->	https://tcga-data.nci.nih.gov/tcgafiles/ftp_auth/distro_ftpusers/anonymous/other/GAF/GAF_bundle/outputs/TCGA.Sept2010.09202010.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeq:01	TCGA-BH-A0W3-01A-11R-A109-07 consensus_mRNA	UNCID_.TCGA-BH-A0W3-01A-11R-A109-07.	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:splice_junction_expression:IlluminaHiSeq_RNASeq:01	TCGA-BH-A0W3-01A-11R-A109-07 splice_junction_expression	UNCID_375222.TCGA-BH-A0W3-01A-11R-A109-07.110607_UNC11-SN627_0100_AD0CT7ABXX.2.trimmed.annotated.translated_to_genomic.spljxn.quantification.txt	yes	Expression-Junction	Level 3	unc.edu_BRCA.IlluminaHiSeq_RNASeq.Level_3.1.2.0
750469b2-05c7-4647-b101-cdd94246d254	TCGA-BH-A0W4-01A-11R-A109-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeq:01	750469b2-05c7-4647-b101-cdd94246d254 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeq:01	750469b2-05c7-4647-b101-cdd94246d254 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeq:01	750469b2-05c7-4647-b101-cdd94246d254 RNA_Sequencing	->	https://tcga-data.nci.nih.gov/tcgafiles/ftp_auth/distro_ftpusers/anonymous/other/GAF/GAF_bundle/outputs/TCGA.Sept2010.09202010.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeq:01	TCGA-BH-A0W4-01A-11R-A109-07 consensus_mRNA	UNCID_.TCGA-BH-A0W4-01A-11R-A109-07.	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:gene_expression:IlluminaHiSeq_RNASeq:01	TCGA-BH-A0W4-01A-11R-A109-07 gene_expression	UNCID_379603.TCGA-BH-A0W4-01A-11R-A109-07.110506_UNC9-SN296_0178_BC02MGABXX.8.trimmed.annotated.gene.quantification.txt	yes	Expression-Gene	Level 3	unc.edu_BRCA.IlluminaHiSeq_RNASeq.Level_3.1.2.0
750469b2-05c7-4647-b101-cdd94246d254	TCGA-BH-A0W4-01A-11R-A109-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeq:01	750469b2-05c7-4647-b101-cdd94246d254 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeq:01	750469b2-05c7-4647-b101-cdd94246d254 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeq:01	750469b2-05c7-4647-b101-cdd94246d254 RNA_Sequencing	->	https://tcga-data.nci.nih.gov/tcgafiles/ftp_auth/distro_ftpusers/anonymous/other/GAF/GAF_bundle/outputs/TCGA.Sept2010.09202010.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeq:01	TCGA-BH-A0W4-01A-11R-A109-07 consensus_mRNA	UNCID_.TCGA-BH-A0W4-01A-11R-A109-07.	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:exon_expression:IlluminaHiSeq_RNASeq:01	TCGA-BH-A0W4-01A-11R-A109-07 exon_expression	UNCID_379686.TCGA-BH-A0W4-01A-11R-A109-07.110506_UNC9-SN296_0178_BC02MGABXX.8.trimmed.annotated.translated_to_genomic.exon.quantification.txt	yes	Expression-Exon	Level 3	unc.edu_BRCA.IlluminaHiSeq_RNASeq.Level_3.1.2.0
750469b2-05c7-4647-b101-cdd94246d254	TCGA-BH-A0W4-01A-11R-A109-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeq:01	750469b2-05c7-4647-b101-cdd94246d254 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeq:01	750469b2-05c7-4647-b101-cdd94246d254 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeq:01	750469b2-05c7-4647-b101-cdd94246d254 RNA_Sequencing	->	https://tcga-data.nci.nih.gov/tcgafiles/ftp_auth/distro_ftpusers/anonymous/other/GAF/GAF_bundle/outputs/TCGA.Sept2010.09202010.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeq:01	TCGA-BH-A0W4-01A-11R-A109-07 consensus_mRNA	UNCID_.TCGA-BH-A0W4-01A-11R-A109-07.	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:splice_junction_expression:IlluminaHiSeq_RNASeq:01	TCGA-BH-A0W4-01A-11R-A109-07 splice_junction_expression	UNCID_379604.TCGA-BH-A0W4-01A-11R-A109-07.110506_UNC9-SN296_0178_BC02MGABXX.8.trimmed.annotated.translated_to_genomic.spljxn.quantification.txt	yes	Expression-Junction	Level 3	unc.edu_BRCA.IlluminaHiSeq_RNASeq.Level_3.1.2.0
c791026a-9fda-47b4-86fd-9b5933325326	TCGA-BH-A0DX-01A-11R-A115-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeq:01	c791026a-9fda-47b4-86fd-9b5933325326 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeq:01	c791026a-9fda-47b4-86fd-9b5933325326 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeq:01	c791026a-9fda-47b4-86fd-9b5933325326 RNA_Sequencing	->	https://tcga-data.nci.nih.gov/tcgafiles/ftp_auth/distro_ftpusers/anonymous/other/GAF/GAF_bundle/outputs/TCGA.Sept2010.09202010.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeq:01	TCGA-BH-A0DX-01A-11R-A115-07 consensus_mRNA	UNCID_.TCGA-BH-A0DX-01A-11R-A115-07.	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:gene_expression:IlluminaHiSeq_RNASeq:01	TCGA-BH-A0DX-01A-11R-A115-07 gene_expression	UNCID_380706.TCGA-BH-A0DX-01A-11R-A115-07.110512_UNC9-SN296_0180_AC036NABXX.1.trimmed.annotated.gene.quantification.txt	yes	Expression-Gene	Level 3	unc.edu_BRCA.IlluminaHiSeq_RNASeq.Level_3.1.2.0
c791026a-9fda-47b4-86fd-9b5933325326	TCGA-BH-A0DX-01A-11R-A115-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeq:01	c791026a-9fda-47b4-86fd-9b5933325326 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeq:01	c791026a-9fda-47b4-86fd-9b5933325326 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeq:01	c791026a-9fda-47b4-86fd-9b5933325326 RNA_Sequencing	->	https://tcga-data.nci.nih.gov/tcgafiles/ftp_auth/distro_ftpusers/anonymous/other/GAF/GAF_bundle/outputs/TCGA.Sept2010.09202010.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeq:01	TCGA-BH-A0DX-01A-11R-A115-07 consensus_mRNA	UNCID_.TCGA-BH-A0DX-01A-11R-A115-07.	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:exon_expression:IlluminaHiSeq_RNASeq:01	TCGA-BH-A0DX-01A-11R-A115-07 exon_expression	UNCID_380773.TCGA-BH-A0DX-01A-11R-A115-07.110512_UNC9-SN296_0180_AC036NABXX.1.trimmed.annotated.translated_to_genomic.exon.quantification.txt	yes	Expression-Exon	Level 3	unc.edu_BRCA.IlluminaHiSeq_RNASeq.Level_3.1.2.0
c791026a-9fda-47b4-86fd-9b5933325326	TCGA-BH-A0DX-01A-11R-A115-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeq:01	c791026a-9fda-47b4-86fd-9b5933325326 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeq:01	c791026a-9fda-47b4-86fd-9b5933325326 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeq:01	c791026a-9fda-47b4-86fd-9b5933325326 RNA_Sequencing	->	https://tcga-data.nci.nih.gov/tcgafiles/ftp_auth/distro_ftpusers/anonymous/other/GAF/GAF_bundle/outputs/TCGA.Sept2010.09202010.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeq:01	TCGA-BH-A0DX-01A-11R-A115-07 consensus_mRNA	UNCID_.TCGA-BH-A0DX-01A-11R-A115-07.	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:splice_junction_expression:IlluminaHiSeq_RNASeq:01	TCGA-BH-A0DX-01A-11R-A115-07 splice_junction_expression	UNCID_380699.TCGA-BH-A0DX-01A-11R-A115-07.110512_UNC9-SN296_0180_AC036NABXX.1.trimmed.annotated.translated_to_genomic.spljxn.quantification.txt	yes	Expression-Junction	Level 3	unc.edu_BRCA.IlluminaHiSeq_RNASeq.Level_3.1.2.0
afaeb45f-d795-4fe0-b4ee-5b90816e6427	TCGA-BH-A0W7-01A-11R-A115-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeq:01	afaeb45f-d795-4fe0-b4ee-5b90816e6427 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeq:01	afaeb45f-d795-4fe0-b4ee-5b90816e6427 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeq:01	afaeb45f-d795-4fe0-b4ee-5b90816e6427 RNA_Sequencing	->	https://tcga-data.nci.nih.gov/tcgafiles/ftp_auth/distro_ftpusers/anonymous/other/GAF/GAF_bundle/outputs/TCGA.Sept2010.09202010.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeq:01	TCGA-BH-A0W7-01A-11R-A115-07 consensus_mRNA	UNCID_.TCGA-BH-A0W7-01A-11R-A115-07.	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:gene_expression:IlluminaHiSeq_RNASeq:01	TCGA-BH-A0W7-01A-11R-A115-07 gene_expression	UNCID_380698.TCGA-BH-A0W7-01A-11R-A115-07.110512_UNC9-SN296_0180_AC036NABXX.2.trimmed.annotated.gene.quantification.txt	yes	Expression-Gene	Level 3	unc.edu_BRCA.IlluminaHiSeq_RNASeq.Level_3.1.2.0
