#name=Regions with enrichment >= 5
#description= Algorithm: Enriched Region Detection |  Parameters: |    Read List = Read List filtered on read quality metrics |    Treatment = 1668-WPT-3_sequence_only_sacCer2_sorted |    Control = 1668-WPT-1_sequence_only_sacCer2_sorted |    Enrichment Factor = 5 |    Window Size (bp) = 100 |    Minimum reads in window = 10 |    Window Slide Size (bp) = 50 |    Minimum region size (bp) = 150 |    Minimum reads in region = 15 |    Upstream padding distance for genes = 5000
Chromosome	Start	End	Read Density	Treatment Count	Control Count	Enrichment Factor	Gene Symbol	Longest Transcript	Overlap Type	Distance to TSS	
chrI	151	550	0.92	368	37	6.5924354	YAL067W-A	YAL067W-A	Upstream	-2130
chrI	1802	2100	0.6588629	197	17	7.6809883	YAL067W-A	YAL067W-A	Upstream	-529
chrI	1802	2100	0.6588629	197	17	7.6809883	PAU8		CDS-Exon	218
chrI	2101	2300	0.49	98	11	5.905181	YAL067W-A	YAL067W-A	Upstream	-280
chrI	2101	2300	0.49	98	11	5.905181	PAU8		CDS-Exon	-31
chrI	2651	2900	0.7	175	22	5.272483	PAU8		Upstream	-606
chrI	44502	44700	0.59799	119	13	6.067411	ACS1	YAL054C	CDS-Exon	422
chrI	44502	44700	0.59799	119	13	6.067411	FLC2		Upstream	-1299
chrI	44502	44700	0.59799	119	13	6.067411	OAF1	YAL051W	Upstream	-3964
chrI	119301	119500	0.605	121	14	5.7287145	ATS1	YAL020C	Upstream	-4784
chrI	119301	119500	0.605	121	14	5.7287145	YAL018C	YAL018C	CDS-Exon	142
chrI	119301	119500	0.605	121	14	5.7287145	PSK1	YAL017W	Upstream	-826
chrI	139051	139250	2.07	414	35	7.8402896	TRN1		CDS-Exon	-4
chrI	139051	139250	2.07	414	35	7.8402896	snR18		Upstream	-3219
chrI	139051	139250	2.07	414	35	7.8402896	MDM10	YAL010C	Upstream	-3483
chrI	139051	139250	2.07	414	35	7.8402896	ERP2	YAL007C	Upstream	-803
chrI	139051	139250	2.07	414	35	7.8402896	EFB1		Upstream	-3026
chrI	139051	139250	2.07	414	35	7.8402896	VPS8	YAL002W	Upstream	-4559
chrI	181001	181350	3.66	1281	131	6.481531	PAU7	YAR020C	Upstream	-4154
chrI	181001	181350	3.66	1281	131	6.481531	YAR023C	YAR023C	Upstream	-1357
chrI	181001	181350	3.66	1281	131	6.481531	UIP3	YAR027W	Upstream	-2589
chrI	181001	181350	3.66	1281	131	6.481531	YAR028W	YAR028W	Upstream	-3711
chrI	181001	181350	3.66	1281	131	6.481531	SUP56		CDS-Exon	40
chrI	182401	182700	3.05	915	115	5.2737927	YAR023C	YAR023C	Upstream	-2732
chrI	182401	182700	3.05	915	115	5.2737927	tS(AGA)A		CDS-Exon	47
chrI	182401	182700	3.05	915	115	5.2737927	UIP3	YAR027W	Upstream	-1214
chrI	182401	182700	3.05	915	115	5.2737927	YAR028W	YAR028W	Upstream	-2336
chrI	182401	182700	3.05	915	115	5.2737927	YAR029W	YAR029W	Upstream	-3765
chrI	182401	182700	3.05	915	115	5.2737927	PRM9	YAR031W	Upstream	-4280
chrI	190507	190699	0.3523316	68	8	5.6340246	YAT1	YAR035W	CDS-Exon	416
chrI	190507	190699	0.3523316	68	8	5.6340246	SWH1	YAR042W	Upstream	-2010
chrI	190701	190850	0.38	57	6	6.296851	YAT1	YAR035W	CDS-Exon	588
chrI	190701	190850	0.38	57	6	6.296851	SWH1	YAR042W	Upstream	-1838
chrI	190852	191348	0.49094567	244	23	7.031724	YAT1	YAR035W	CDS-Exon	913
chrI	190852	191348	0.49094567	244	23	7.031724	SWH1	YAR042W	Upstream	-1513
chrI	191503	191698	0.29591838	58	6	6.4073224	YAT1	YAR035W	CDS-Exon	1413
chrI	191503	191698	0.29591838	58	6	6.4073224	SWH1	YAR042W	Upstream	-1013
chrI	191705	191900	0.43367347	85	7	8.048607	YAT1	YAR035W	CDS-Exon	1615
